id_emplacement,cd_postal,lb_ville
0,77320,La Ferté-Gaucher 
1,78000,Versailles 
2,93270,Sevran 
3,92370,Chaville 
4,78140,Vélizy-Villacoublay 
5,92160,Antony 
6,77510,Villeneuve-sur-Bellot 
7,78150,Le Chesnay 
8,92400,Courbevoie 
9,95270,Bellefontaine 
10,77650,Sainte-Colombe 
11,92170,Vanves 
12,78910,Osmoy 
13,91630,Marolles-en-Hurepoix 
14,92130,Issy-les-Moulineaux 
15,95620,Parmain 
16,95590,Presles 
17,77460,Souppes-sur-Loing 
18,92330,Sceaux 
19,75015,Paris
20,77500,Chelles 
21,93140,Bondy 
22,91280,Saint-Pierre-du-Perray 
23,95100,Argenteuil 
24,78100,Saint-Germain-en-Laye 
25,93260,Les Lilas 
26,92100,Boulogne-Billancourt 
27,91660,Méréville 
28,75018,Paris
29,92800,Puteaux 
30,75010,Paris
31,78114,Magny-les-Hameaux 
32,77640,Jouarre 
33,77600,Bussy-Saint-Georges 
34,91300,Massy 
35,95780,La Roche-Guyon 
36,95640,Marines 
37,95750,Chars 
38,75020,Paris
39,75019,Paris
40,77410,Fresnes-sur-Marne 
41,77400,Lagny-sur-Marne 
42,93100,Montreuil 
43,77260,La Ferté-sous-Jouarre 
44,94120,Fontenay-sous-Bois 
45,93170,Bagnolet 
46,75008,Paris
47,75017,Paris
48,75016,Paris
49,92200,Neuilly-sur-Seine 
50,94490,Ormesson-sur-Marne 
51,93230,Romainville 
52,91380,Chilly-Mazarin 
53,91160,Longjumeau 
54,92500,Rueil-Malmaison 
55,91120,Palaiseau 
56,78300,Poissy 
57,94140,Alfortville 
58,75013,Paris
59,94130,Nogent-sur-Marne 
60,91580,Étréchy 
61,91150,Morigny-Champigny 
62,91150,Étampes 
63,94400,Vitry-sur-Seine 
64,91210,Draveil 
65,75011,Paris
66,77630,Barbizon 
67,91490,Milly-la-Forêt 
68,77930,Perthes 
69,77930,Cély 
70,91400,Orsay 
71,77000,Melun 
72,77610,Fontenay-Trésigny 
73,77100,Meaux 
74,77700,Serris 
75,95430,Auvers-sur-Oise 
76,95000,Cergy 
77,95800,Courdimanche 
78,92000,Nanterre 
79,95810,Grisy-les-Plâtres 
80,91250,Saintry-sur-Seine 
81,91290,Arpajon 
82,95490,Vauréal 
83,92300,Levallois-Perret 
84,91160,Ballainvilliers 
85,78260,Achères 
86,78660,Prunay-en-Yvelines 
87,93320,Les Pavillons-sous-Bois 
88,94200,Ivry-sur-Seine 
89,92110,Clichy 
90,78120,Rambouillet 
91,78711,Mantes-la-Ville 
92,78710,Rosny-sur-Seine 
93,75014,Paris
94,94550,Chevilly-Larue 
95,92250,La Garenne-Colombes 
96,93000,Bobigny 
97,95650,Génicourt 
98,91530,Saint-Chéron 
99,78550,Houdan 
100,91410,Dourdan 
101,95800,Cergy 
102,92240,Malakoff 
103,94360,Bry-sur-Marne 
104,78610,Le Perray-en-Yvelines 
105,92700,Colombes 
106,95560,Baillet-en-France 
107,93300,Aubervilliers 
108,78420,Carrières-sur-Seine 
109,93500,Pantin 
110,95880,Enghien-les-Bains 
111,95360,Montmagny 
112,78490,Montfort-l'Amaury 
113,91800,Boussy-Saint-Antoine 
114,77380,Combs-la-Ville 
