id,url,lb_type_bien,ville,price,pieces,surface,date_annonce,dependance,annexe,classe_energie,gaz_effet_serre
1260694776,https://www.paruvendu.fr/immobilier/vente/maison/a-5-mns-de-la-ferte-gaucher-maison-de-village-a-renover-ave/1260694776A1KIVHMN000,Maison,La Ferté-Gaucher (77320),97500,3,101,03/09/2022,NC,NC,E,B
1263297361,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-versailles-3-piece-s-73-6-m2/1263297361A1KIVHAP000,Appartement,Versailles (78000),499000,3,74,03/09/2022,Balcon,Parking,C,D
1263773523,https://www.paruvendu.fr/immobilier/vente/duplex-en-zone-franche/particulier/1263773523A1KIVHDU000,Duplex/triplex,Sevran (93270),226000,NC,78,03/09/2022,NC,NC,C,C
1263773560,https://www.paruvendu.fr/immobilier/prestige/maison/maison-au-calme-et-proche-de-tout/1263773560A1KIVHMN000,Maison,Chaville (92370),927000,7,118,03/09/2022,NC,Parking,NC,NC
1263773532,https://www.paruvendu.fr/immobilier/vente/appartement/3p-lumineux-avec-vue-degagee/1263773532A1KIVHAP000,Appartement,Vélizy-Villacoublay (78140),278100,3,61,03/09/2022,Balcon,Cave,NC,NC
1263772940,https://www.paruvendu.fr/immobilier/vente/2-pieces-en-rez-de-jardin-privatif/particulier/1263772940A1KIVHAP000,Appartement,Antony (92160),273000,2,41,03/09/2022,NC,NC,D,B
1261865326,https://www.paruvendu.fr/immobilier/vente/maison/atypique-maison-briarde-logement-a-l-etage-avec-acces-indep/1261865326A1KIVHMN000,Maison,Villeneuve-sur-Bellot (77510),222000,4,179,03/09/2022,NC,NC,G,G
1260968772,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-le-chesnay-5-pieces-103-m2/1260968772A1KIVHAP000,Appartement,Le Chesnay (78150),569000,5,103,03/09/2022,Balcon,Parking,D,NC
1263772766,https://www.paruvendu.fr/immobilier/prestige/appartement/t4-4-pieces/1263772766A1KIVHAP000,Appartement,Courbevoie (92400),779000,4,91,03/09/2022,Balcon,Parking,B,C
1263772627,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-1-piece-tres-fonctionnel-et-lumineux/1263772627A1KIVHAP000,Appartement,Bellefontaine (95270),105000,1,28,03/09/2022,NC,Cave,D,D
1263772315,https://www.paruvendu.fr/immobilier/vente/maison-7-pieces/particulier/1263772315A1KIVHMN000,Maison,Sainte-Colombe (77650),240000,7,106,03/09/2022,NC,NC,D,B
1263772310,https://www.paruvendu.fr/immobilier/vente/appartement-t2-meuble-sur-vanves-calme-disponible-de-suite/particulier/1263772310A1KIVHAP000,Appartement,Vanves (92170),250000,2,36,03/09/2022,NC,NC,F,C
1263772271,https://www.paruvendu.fr/immobilier/vente/maison/magnifique-demeure-d-environ-180m2-sur-un-terrain-de-520m2/1263772271A1KIVHMN000,Maison,Osmoy (78910),435000,6,180,03/09/2022,Terrasse,Cave,NC,NC
1263143093,https://www.paruvendu.fr/immobilier/vente/maison/situee-dans-un-endroit-calme-et-verdoyant/1263143093A1KIVHMN000,Maison,Marolles-en-Hurepoix (91630),456000,6,132,03/09/2022,Terrasse,Parking,D,A
1262979350,https://www.paruvendu.fr/immobilier/prestige/appartement/issy-val-de-seine-quartier-tres-recherche/1262979350A1KIVHAP000,Appartement,Issy-les-Moulineaux (92130),685000,3,76,03/09/2022,Terrasse,Parking,D,A
1262824249,https://www.paruvendu.fr/immobilier/vente/maison/maison-5-pieces-128m2-parmain/1262824249A1KIVHMN000,Maison,Parmain (95620),323900,4,128,03/09/2022,Terrasse,Parking,G,C
1261738197,https://www.paruvendu.fr/immobilier/vente/maison/charmante-maison-familiale-avec-beau-potentiel/1261738197A1KIVHMN000,Maison,Presles (95590),367000,6,147,03/09/2022,Terrasse,NC,C,D
1263770537,https://www.paruvendu.fr/immobilier/vente/maison-4-pieces-souppes-sur-loing/particulier/1263770537A1KIVHMN000,Maison,Souppes-sur-Loing (77460),200000,4,82,03/09/2022,NC,NC,A,A
1261721265,https://www.paruvendu.fr/immobilier/vente/maison/grange-a-rehabiliter-entierement-avec-terrain-arriere-le-to/1261721265A1KIVHMN000,Maison,Villeneuve-sur-Bellot (77510),50000,1,88,03/09/2022,NC,NC,NC,NC
1263770484,https://www.paruvendu.fr/immobilier/prestige/d-appartement-a-sceaux-92/particulier/1263770484A1KIVHAP000,Appartement,Sceaux (92330),895000,6,129,03/09/2022,NC,NC,E,F
1263194099,https://www.paruvendu.fr/immobilier/vente/maison/maison-entierement-renovee-de-4-chambres-avec-cour-privativ/1263194099A1KIVHMN000,Maison,Villeneuve-sur-Bellot (77510),171500,5,111,03/09/2022,Terrasse,Parking,NC,NC
1263769254,https://www.paruvendu.fr/immobilier/prestige/appartement/2-pieces/1263769254A1KIVHAP000,Appartement,Paris 15,690000,3,62,03/09/2022,NC,Cave,NC,NC
1263769034,https://www.paruvendu.fr/immobilier/vente/maison/maison-chelles-5-pieces71-51-m2-habi-114-27m2-utile/1263769034A1KIVHMN000,Maison,Chelles (77500),386000,4,72,03/09/2022,Terrasse,Cave,G,F
1263768944,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-bondy-2-piece-s-39-66-m2/1263768944A1KIVHAP000,Appartement,Bondy (93140),161000,2,40,03/09/2022,Balcon,Parking,NC,NC
1262339877,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-saint-pierre-du-perray-2-piece-s-47-85-m2/1262339877A1KIVHAP000,Appartement,Saint-Pierre-du-Perray (91280),167745,2,48,03/09/2022,NC,Parking,B,C
1262401998,https://www.paruvendu.fr/immobilier/vente/maison/maison-argenteuil-5-piece-s-avec-jardin/1262401998A1KIVHMN000,Maison,Argenteuil (95100),367000,4,88,03/09/2022,NC,NC,NC,NC
1262448903,https://www.paruvendu.fr/immobilier/vente/appartement-87m2-4-pieces/particulier/1262448903A1KIVHAP000,Appartement,Saint-Germain-en-Laye (78100),589000,4,87,03/09/2022,NC,NC,A,A
1263584378,https://www.paruvendu.fr/immobilier/prestige/les-lilas-maison-5-pieces-a-9-minutes-a-pieds-futur-metro/particulier/1263584378A1KIVHMN000,Maison,Les Lilas (93260),624900,5,111,03/09/2022,NC,NC,F,G
1263596748,https://www.paruvendu.fr/immobilier/vente/appartement-4-pieces-76-47-m2-boulogne-billancourt/particulier/1263596748A1KIVHAP000,Appartement,Boulogne-Billancourt (92100),596000,4,76,03/09/2022,NC,NC,D,C
1263679526,https://www.paruvendu.fr/immobilier/vente/maison-de-ville-f3-de-55-m2-140-000-euro-mereville-centre/particulier/1263679526A1KIVHMN000,Maison,Méréville (91660),140000,3,55,03/09/2022,NC,NC,F,C
1263707188,https://www.paruvendu.fr/immobilier/vente/3-pieces-bien-occupe-paris-18eme/particulier/1263707188A1KIVHAP000,Appartement,Paris 18,275000,3,37,03/09/2022,NC,NC,G,F
1263712253,https://www.paruvendu.fr/immobilier/vente/appartement-70m2-1-ch-terrasse-48m2/particulier/1263712253A1KIVHAP000,Appartement,Puteaux (92800),480000,3,70,03/09/2022,NC,NC,NC,NC
1262904995,https://www.paruvendu.fr/immobilier/vente/appartement-paris-75018-2-3-pieces-2-parkings/particulier/1262904995A1KIVHAP000,Appartement,Paris 18,575000,3,61,03/09/2022,NC,NC,D,B
1262392548,https://www.paruvendu.fr/immobilier/prestige/t3-a-paris10eme-canal-saint-martin-gare-de-l-est/particulier/1262392548A1KIVHAP000,Appartement,Paris 10,628000,3,61,03/09/2022,NC,Cave,D,D
1263567853,https://www.paruvendu.fr/immobilier/vente/maison-de-caractere-a-magny-les-hameaux/particulier/1263567853A1KIVHMN000,Maison,Magny-les-Hameaux (78114),580000,7,160,03/09/2022,NC,NC,C,C
1263374146,https://www.paruvendu.fr/immobilier/vente/villa-de-200-m2-avec-son-jardin-arbore-de-1300-m2/particulier/1263374146A1KIVHVI000,Villa,Jouarre (77640),390000,10,200,03/09/2022,NC,NC,D,B
1259893079,https://www.paruvendu.fr/immobilier/vente/appartement-3-pieces-5-min-a-pied-du-rer/particulier/1259893079A1KIVHAP000,Appartement,Bussy-Saint-Georges (77600),275000,3,58,03/09/2022,NC,Cave,C,C
1263768507,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-massy-4-piece-s-85-m2/1263768507A1KIVHAP000,Appartement,Massy (91300),319000,4,85,03/09/2022,Balcon,Parking,D,B
1262155063,https://www.paruvendu.fr/immobilier/vente/maison/maison-4-chambres/1262155063A1KIVHMN000,Maison,La Roche-Guyon (95780),263000,6,105,03/09/2022,Terrasse,Parking,E,C
1262269916,https://www.paruvendu.fr/immobilier/vente/maison/maison-familiale-de-160m2-residence-calme-marines-pisc/1262269916A1KIVHMN000,Maison,Marines (95640),554200,7,160,03/09/2022,Terrasse,Parking,C,C
1263511632,https://www.paruvendu.fr/immobilier/vente/maison/chars-maison-ancienne-a-renover-gros-potentiel-4-cham/1263511632A1KIVHMN000,Maison,Chars (95750),169400,5,140,03/09/2022,NC,Parking,NC,NC
1263381277,https://www.paruvendu.fr/immobilier/vente/appartement/paris-20e-grand-t3-lumineux-et-calme-a-vendre/1263381277A1KIVHAP000,Appartement,Paris 20,579000,3,69,03/09/2022,NC,Parking,C,D
1263697251,https://www.paruvendu.fr/immobilier/vente/appartement/paris-19-studio-a-vendre/1263697251A1KIVHAP000,Appartement,Paris 19,104500,1,10,03/09/2022,NC,NC,E,B
1256983337,https://www.paruvendu.fr/immobilier/vente/maison/maison-avec-terrain-de-670m2/1256983337A1KIVHMN000,Maison,Fresnes-sur-Marne (77410),315000,3,84,03/09/2022,Terrasse,Parking,D,E
1262576193,https://www.paruvendu.fr/immobilier/vente/maison/maison-f3-sans-travaux-plein-de-charme/1262576193A1KIVHMN000,Maison,Fresnes-sur-Marne (77410),219000,3,63,03/09/2022,NC,Parking,F,F
1263163649,https://www.paruvendu.fr/immobilier/prestige/maison/maison-meuliere-coeur-de-ville-lagny-sur-marne-terrain-7/1263163649A1KIVHMN000,Maison,Lagny-sur-Marne (77400),659000,3,140,03/09/2022,NC,Parking,D,E
